lat,lng,points
51.209257,1.072083,3
38.48799461,-81.87011719,2
42.142112,-87.682321,9
47.67740909,-122.3286438,0
28.875856,-81.550448,4
30.307724,31.232452,0
39.63806844,-83.90787954,0
13.964473,100.61611,0
31.365693,-106.106658,0
40.376383,-111.947583,0
50.17669068,8.66463844,0
49.10867342,-122.54844946,0
45.65244829,25.6111908,59
38.61687046,-102.3046875,0
36.922576,-94.28799,0
48.032948,16.592204,0
49.869287,-122.849685,0
35.825918,-78.620027,0
40.75505951,-111.88682556,0
34.10136422,-117.7468727,0
26.008879,-80.200078,1
51.269267,-2.354736,0
38.91828427,-77.0375061,117
48.50955339,-123.51318107,7
33.590521,-117.552086,0
35.672365,-84.144752,534
36.07615969,-86.68472137,0
30.280705,31.339874,3
33.452802,-111.777708,0
37.85762655,32.29239845,2
47.387426,-122.217244,0
36.20007696,-86.71580774,0
41.39007281,-73.5059913,0
33.39993132,-111.85394665,0
2.935011,101.595746,0
29.79092871,-95.58775887,0
47.517785,-122.691147,0
48.20637134,16.36413574,0
38.98129653,-94.68360901,12
38.29141817,-0.63098355,0
40.640861,-78.121711,0
37.768174,23.611258,0
32.789219,-97.47727,0
33.16629498,-117.32917786,21
47.405125,-121.9846,0
40.677998,-73.894811,1
28.65928892,77.10871415,0
49.399381,-123.239201,12
25.926128,-79.991905,0
49.494011,-123.00789,0
40.11700852,-75.29011215,0
33.874659,-118.44813,0
14.60077588,121.12695638,0
-27.708786,153.087548,0
40.47816,-111.958424,0
50.009074,14.068312,0
49.19276396,-122.97101691,0
33.934046,-84.062502,10
33.839004,-118.084747,0
35.266759,-119.21359,0
36.027522,-78.658532,0
37.05703525,-113.49213905,0
38.743971,-8.830408,0
50.912572,2.883244,2
33.997848,-119.009321,0
41.94531425,-73.72001115,5
53.284377,-5.816271,0
52.5835667,-7.2272696,0
33.505179,-117.680801,0
43.886586,-70.358411,0
32.289596,-111.198884,0
43.75453,-79.731283,0
38.928786,-86.471736,0
25.64343419,-80.40743573,0
26.052187,-98.520921,2
37.69009,-122.14943,0
42.56104275,-84.6052263,2
50.08646766,8.53440635,0
30.312431,-98.008419,6
47.75267036,11.4853601,0
43.40287431,-79.96647812,29
37.329609,-122.261534,1
-33.946164,150.833648,7
32.982584,-117.477332,0
36.253425,-79.052467,0
25.779867,-80.474615,1
51.533028,-3.57087,2
36.08116521,-115.03832206,1
32.70449,-116.947923,2
39.862941,-105.254213,183
36.028266,-78.633258,5
40.955389,-74.128318,0
29.66233623,-95.33785486,0
37.110931,-122.056608,3
42.192489,-70.811775,0
-38.039715,144.843326,0
30.73183752,-97.82592842,0
40.478034,-111.543581,1
34.23401564,-118.53492737,0
38.840357,-121.587488,0
59.86756471,10.8578663,4
45.609706,-122.993347,13
39.00312035,-76.79967513,7
27.700238,-82.019331,0
41.783508,-91.855444,113
55.434157,12.541579,0
36.417365,-86.812768,0
42.157974,-87.575205,121
41.001521,-74.042758,19
42.163247,-70.838646,8
39.26043,-77.281875,0
45.31127567,-75.82027616,6
40.62983452,-111.86327236,0
51.807348,0.097823,0
47.581393,-121.82985,2
42.138214,-70.506596,0
51.257333,-0.028032,19
33.475497,-112.209798,7
-0.21285962,-78.51104736,0
40.669437,-74.379905,3
33.76681867,-118.19641113,0
38.882096,-77.228921,0
41.191106,28.749819,5
44.4012,-79.216573,0
41.25299262,-111.98551949,3
50.244267,-104.346887,21
55.655701,-3.727794,0
53.096589,-6.227744,53
50.915007,-113.877839,0
33.76578215,-117.99167278,0
25.10674092,55.23376465,0
39.857726,-105.181513,0
37.760802,23.842735,0
38.839984,-94.544683,0
18.608485,-65.86829,11
33.931584,-118.527049,0
34.219095,-118.115414,10
37.36156,126.788269,2
42.794711,-73.996064,0
31.843593,34.788477,4
26.22243728,-80.24917417,0
24.477904,46.567902,0
29.015541,-81.446579,12
42.591823,-71.119962,42
41.63688,-87.579991,9
47.29264983,8.39710557,0
31.92923,34.526965,3
37.522668,126.74213,3
9.73313585,99.98505092,0
6.21470994,-75.6665995,0
38.65805,-0.560697,0
-34.184301,22.315296,0
33.546157,-117.849955,0
77.69287034,-159.2578125,55
40.1603608,-75.12097165,18
47.248802,19.186871,0
33.875821,-118.042963,0
1.110831,103.964623,0
1.28115203,103.85071491,0
37.532658,-121.815313,15
45.29131277,-93.66217478,0
30.200422,-98.031066,0
34.109871,-118.764684,2
33.241993,-112.167974,0
44.814281,-93.018686,4
37.31048603,-121.90085685,0
37.97962,-122.462345,0
51.31481,0.120294,0
-22.89034476,-43.07660572,4
44.803602,22.386553,0
42.849734,-79.199366,2
-33.662369,151.401293,0
33.080766,-96.938038,0
40.714151,-74.233066,0
24.830495,55.345338,0
51.395423,3.510291,7
